#HEADER
#TITLES
 , ,D-LX1Q
#UNITS
 , ,KN
#DATATYPES
Huge,Double,Float
#DATA
912,7758.750000,-8.583323
913,7758.751000,-8.414185
914,7758.752000,-8.366239
915,7758.753000,-8.164614
916,7758.754000,-8.17721
917,7758.755000,-8.311763
918,7758.756000,-8.312793
919,7758.757000,-8.369777
920,7758.758000,-8.428217
921,7758.759000,-8.365589
922,7758.760000,-8.328571
923,7758.761000,-8.259953
924,7758.762000,-8.21309
925,7758.763000,-8.231704
926,7758.764000,-8.271843
927,7758.765000,-8.282662
928,7758.766000,-8.18306
929,7758.767000,-8.274354
930,7758.768000,-8.275829
931,7758.769000,-8.117158
932,7758.770000,-8.257695
933,7758.771000,-8.205778
934,7758.772000,-8.211443
935,7758.773000,-8.165446
936,7758.774000,-8.098831
937,7758.775000,-8.191504
938,7758.776000,-8.182508
939,7758.777000,-8.115668
940,7758.778000,-8.026737
941,7758.779000,-8.126774
942,7758.780000,-8.001285
943,7758.781000,-7.935903
944,7758.782000,-8.067314
945,7758.783000,-7.980731
946,7758.784000,-8.024233
947,7758.785000,-8.095905
948,7758.786000,-8.122649
949,7758.787000,-7.999648
950,7758.788000,-7.996484
951,7758.789000,-7.90189
952,7758.790000,-7.882908
953,7758.791000,-7.911543
954,7758.792000,-7.982711
955,7758.793000,-7.876494
956,7758.794000,-7.809639
957,7758.795000,-7.767054
958,7758.796000,-7.896932
959,7758.797000,-7.757647
960,7758.798000,-7.770277
961,7758.799000,-7.958399
962,7758.800000,-7.833734
963,7758.801000,-7.81049
964,7758.802000,-7.974639
965,7758.803000,-7.873896
966,7758.804000,-7.738082
967,7758.805000,-7.81739
968,7758.806000,-7.810273
969,7758.807000,-7.872098
